****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 294719 ******* 

Variable    Labels
TA171827   H106 # DAYS HAD 4-5 DRINKS              
TA171835   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171840   H110C # OF OCCASIONS IN PAST 30 DAYS    
TA171853   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171861   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171869   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171877   H113 # OF TIMES TOOK W/O DOC 30 DAYS    
TA171885   H113 # OF TIMES TOOK W/O DOC 30 DAYS    

*** End of labels ******************************* 
