****** PSID DATA CENTER ************************* 
****** Variable labels for JobID = 294150 ******* 

Variable    Labels
TA070049   B6B HOW GOOD AT PROBLEM SOLVING         
TA070050   B6C HOW GOOD AT MONEY MANAGEMENT        
TA070051   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA070052   C1A HOW GOOD AT SUPERVISING COMP        
TA070053   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA070054   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA070055   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA070056   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA070057   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA070058   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA070059   C1H HOW DECISIVE COMPARED W/OTHERS      
TA070060   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA070061   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA070069   D1 CURRENT MARITAL STATUS               
TA070078   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA070091   D28A NUMBER OF CHILDREN                 
TA070127   E1 EMPLOYMENT STATUS 1ST MENTION        
TA070131   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA070341   E62 WTR EVER WORKED                     
TA070368   E70 WHY NOT LOOKNG FOR WRK IN LAST 4 WKS
TA070548   G1 WTR GRADUATED HIGH SCHOOL            
TA070569   G10 WTR EVER ATTENDED COLLEGE           
TA070570   G11 WTR IN COLLEGE NOW                  
TA070602   G20 WTR CURRENTLY IN VO/TECH TRAINING   
TA070649   H3 HOW MUCH CONDITION LIMITS AMT OF WORK
TA070679   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA070681   H12B WTR DEPRESSION                     
TA070682   H12B WTR BIPOLAR DISORDER               
TA070683   H12B WTR SCHIZOPHRENIA                  
TA070684   H12B WTR ANXIETY                        
TA070685   H12B WTR PHOBIAS                        
TA070686   H12B WTR ALCOHOL PROBLEMS               
TA070687   H12B WTR OTHER DRUG PROBLEMS            
TA070688   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA070694   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA070704   H15 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA070705   H16 WTR>2 WKS NO INTEREST IN LIFE       
TA070725   H27 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA070726   H28A FREQ OF SNACK INSTEAD OF REGLR MEAL
TA070727   H28B FREQUENCY OF BINGE EATING          
TA070730   H30 # CIGARETTES PER DAY                
TA070738   H37 HOW OFTEN HAVE DRINKS-HD            
TA070739   H38 # ALCOHOLIC DRINKS PER DAY-HD       
TA070740   H39 # DAYS HAD 4-5 DRINKS-HEAD          
TA070747   H44A # OF TIMES TOOK W/O DOC IN 12 MOS  
TA070748   H45A # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA070755   H44B # OF TIMES TOOK W/O DOC IN 12 MOS  
TA070756   H45B # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA070763   H44C # OF TIMES TOOK W/O DOC IN 12 MOS  
TA070764   H45C # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA070768   H42D_B # OF OCCASIONS IN PAST 12 MOS    
TA070769   H42D_C # OF OCCASIONS IN PAST 30 DAYS   
TA070776   H44E # OF TIMES TOOK W/O DOC IN 12 MOS  
TA070777   H45E # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA070784   H44F # OF TIMES TOOK W/O DOC IN 12 MOS  
TA070785   H45F # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA070792   H44G # OF TIMES TOOK W/O DOC IN 12 MOS  
TA070793   H45G # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA070864   L6 HISPANICITY                          
TA070865   L7 RACE MENTION #1                      
TA070869   M1 FREQUENCY OF HAPPINESS IN LAST MONTH 
TA070870   M2 FREQ OF INTEREST IN LIFE IN LAST MO  
TA070871   M3 FREQ OF FEELING SATISFIED IN LAST MO 
TA070872   M4 FREQ OF FEELING CONTRIB TO SOCIETY   
TA070873   M5 FREQ OF FEELING BELONGING TO COMMUNTY
TA070874   M6 FREQ OF FEELING SOCIETY GETTNG BETTER
TA070875   M7 FREQ OF FEELING PEOPLE BASICALLY GOOD
TA070876   M8 FREQ FEELNG WAY SOC WORKS MAKES SENSE
TA070877   M9 FREQ FEEL MANAGNG DAILY RESPONSIBILTY
TA070878   M10 FREQ FEELING TRUSTING RELS W/OTHERS 
TA070879   M11 FREQ OF FEELING CHALLENGED TO GROW  
TA070880   M12 FREQ FEELING CONFIDENT OF OWN IDEAS 
TA070881   M13 FREQ OF FEELING LIKED PERSONALITY   
TA070882   M14 FREQ OF FEELING LIFE HAD DIRECTION  
TA070913   MENTAL HEALTH:  WORRY                   
TA070914   MENTAL HEALTH:  SOCIAL ANXIETY          
TA070916   SUBSCALE:  EMOTIONAL WB                 
TA070918   SUBSCALE:  PSYCHOLOGICAL WB             
TA070919   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA070925   BODY MASS INDEX                         
TA070927   ENROLLMENT STATUS                       
ER34001    2009 INTERVIEW NUMBER                   
ER34002    SEQUENCE NUMBER                       09
ER34003    RELATION TO HEAD                      09
TA090001   RELEASE NUMBER                          
TA090016   A1 WTR INVOLVED IN ARTS                 
TA090017   A2 TYPE OF ARTS                         
TA090018   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA090019   A4 WTR MEMBER OF SPORTS TEAM            
TA090020   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA090021   A6 HOW OFTEN WATCHED OR READ NEWS       
TA090022   A7 HOW OFTEN READ FOR PLEASURE          
TA090023   A8 HOW OFTEN WATCH NON-NEWS TV          
TA090024   A9 WTR EVER USED INTERNET               
TA090025   A10A WTR USED INTERNET FOR EMAIL        
TA090026   A10B WTR USED INTERNET FOR SCHOOL       
TA090027   A10C WTR USED INTERNET TO SHOP          
TA090028   A10D WTR USED INTERNET FOR GAMES        
TA090029   A11 WTR VOTED IN 2006                   
TA090030   A11B WTR IN SOCIAL ACTION GROUPS        
TA090031   A11C TYPE OF SOCIAL ACTION GROUPS       
TA090032   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA090033   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA090034   A12B HOW OFTEN DID SCHOOL CLUBS         
TA090035   A13 WTR DID OTR VOLUNTEER WORK          
TA090036   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA090037   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA090038   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA090039   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA090040   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA090041   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA090042   A14B HOW OFTEN VOLUNTEERED              
TA090043   B1 FALL/WINTER PRIMARY RESIDENCE        
TA090044   B2 SUMMER PRIMARY RESIDENCE             
TA090045   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA090046   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA090047   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA090048   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA090049   B6A HOW GOOD AT RESPONSIBILITY          
TA090050   B6B HOW GOOD AT PROBLEM SOLVING         
TA090051   B6C HOW GOOD AT MONEY MANAGEMENT        
TA090052   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA090053   C1A HOW GOOD AT SUPERVISING COMP        
TA090054   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA090055   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA090056   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA090057   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA090058   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA090059   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA090060   C1H HOW DECISIVE COMPARED W/OTHERS      
TA090061   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA090062   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA090078   D1 CURRENT MARITAL STATUS               
TA090087   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA090100   D28A NUMBER OF CHILDREN                 
TA090136   E1 EMPLOYMENT STATUS 1ST MENTION        
TA090140   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA090358   E62 WTR EVER WORKED                     
TA090385   E70 WHY NOT LOOKNG FOR WRK IN LAST 4 WKS
TA090590   G1 WTR GRADUATED HIGH SCHOOL            
TA090611   G10 WTR EVER ATTENDED COLLEGE           
TA090612   G11 WTR IN COLLEGE NOW                  
TA090655   G20 WTR CURRENTLY IN VO/TECH TRAINING   
TA090705   H3 HOW MUCH CONDITION LIMITS AMT OF WORK
TA090735   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA090737   H12B WTR DEPRESSION                     
TA090738   H12B WTR BIPOLAR DISORDER               
TA090739   H12B WTR SCHIZOPHRENIA                  
TA090740   H12B WTR ANXIETY                        
TA090741   H12B WTR PHOBIAS                        
TA090742   H12B WTR ALCOHOL PROBLEMS               
TA090743   H12B WTR OTHER DRUG PROBLEMS            
TA090744   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA090750   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA090760   H15 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA090761   H16 WTR>2 WKS NO INTEREST IN LIFE       
TA090784   H27 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA090785   H28A FREQ OF SNACK INSTEAD OF REGLR MEAL
TA090786   H28B FREQUENCY OF BINGE EATING          
TA090789   H30 # CIGARETTES PER DAY                
TA090797   H37 HOW OFTEN HAVE DRINKS-HD            
TA090798   H38 # ALCOHOLIC DRINKS PER DAY-HD       
TA090799   H39 # DAYS HAD 4-5 DRINKS-HEAD          
TA090806   H44A # OF TIMES TOOK W/O DOC IN 12 MOS  
TA090807   H45A # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA090814   H44B # OF TIMES TOOK W/O DOC IN 12 MOS  
TA090815   H45B # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA090822   H44C # OF TIMES TOOK W/O DOC IN 12 MOS  
TA090823   H45C # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA090827   H42D_B # OF OCCASIONS IN PAST 12 MOS    
TA090828   H42D_C # OF OCCASIONS IN PAST 30 DAYS   
TA090835   H44E # OF TIMES TOOK W/O DOC IN 12 MOS  
TA090836   H45E # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA090843   H44F # OF TIMES TOOK W/O DOC IN 12 MOS  
TA090844   H45F # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA090851   H44G # OF TIMES TOOK W/O DOC IN 12 MOS  
TA090852   H45G # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA090924   L6 HISPANICITY                          
TA090925   L7 RACE MENTION #1                      
TA090929   M1 FREQUENCY OF HAPPINESS IN LAST MONTH 
TA090930   M2 FREQ OF INTEREST IN LIFE IN LAST MO  
TA090931   M3 FREQ OF FEELING SATISFIED IN LAST MO 
TA090932   M4 FREQ OF FEELING CONTRIB TO SOCIETY   
TA090933   M5 FREQ OF FEELING BELONGING TO COMMUNTY
TA090934   M6 FREQ OF FEELING SOCIETY GETTNG BETTER
TA090935   M7 FREQ OF FEELING PEOPLE BASICALLY GOOD
TA090936   M8 FREQ FEELNG WAY SOC WORKS MAKES SENSE
TA090937   M9 FREQ FEEL MANAGNG DAILY RESPONSIBILTY
TA090938   M10 FREQ FEELING TRUSTING RELS W/OTHERS 
TA090939   M11 FREQ OF FEELING CHALLENGED TO GROW  
TA090940   M12 FREQ FEELING CONFIDENT OF OWN IDEAS 
TA090941   M13 FREQ OF FEELING LIKED PERSONALITY   
TA090942   M14 FREQ OF FEELING LIFE HAD DIRECTION  
TA090977   MENTAL HEALTH:  WORRY                   
TA090978   MENTAL HEALTH:  SOCIAL ANXIETY          
TA090980   SUBSCALE:  EMOTIONAL WB                 
TA090982   SUBSCALE:  PSYCHOLOGICAL WB             
TA090983   MENTAL HEALTH:  NON-SPEC PSYCH DISTRESS 
TA090989   BODY MASS INDEX                         
TA090991   ENROLLMENT STATUS                       
ER34101    2011 INTERVIEW NUMBER                   
ER34102    SEQUENCE NUMBER                       11
ER34103    RELATION TO HEAD                      11
TA110001   RELEASE NUMBER                          
TA110016   A1 WTR INVOLVED IN ARTS                 
TA110017   A2 TYPE OF ARTS                         
TA110018   A3 HOW OFTEN PARTICIPATED IN ARTS       
TA110019   A4 WTR MEMBER OF SPORTS TEAM            
TA110020   A5 HOW OFTEN PARTICIPATD IN SPORTS      
TA110021   A6 HOW OFTEN WATCHED OR READ NEWS       
TA110022   A7 HOW OFTEN READ FOR PLEASURE          
TA110023   A8 HOW OFTEN WATCH NON-NEWS TV          
TA110024   A9 WTR EVER USED INTERNET               
TA110025   A10A WTR USED INTERNET FOR EMAIL        
TA110026   A10B WTR USED INTERNET FOR SCHOOL       
TA110027   A10C WTR USED INTERNET TO SHOP          
TA110028   A10D WTR USED INTERNET FOR GAMES        
TA110029   A10E WTR USED INTERNET FOR SOC NETWRKING
TA110030   A11 WTR VOTED IN 2010                   
TA110031   A11B WTR IN SOCIAL ACTION GROUPS        
TA110032   A11C TYPE OF SOCIAL ACTION GROUPS       
TA110033   A11D HOW OFTEN DID SOCIAL ACTION GROUPS 
TA110034   A12 WTR INVOLVED WITH SCHOOL CLUBS      
TA110035   A12B HOW OFTEN DID SCHOOL CLUBS         
TA110036   A13 WTR DID OTR VOLUNTEER WORK          
TA110037   A14 TYPE VOLUNTEER ORG-MENTION 1        
TA110038   A14 TYPE VOLUNTEER ORG-MENTION 2        
TA110039   A14 TYPE VOLUNTEER ORG-MENTION 3        
TA110040   A14 TYPE VOLUNTEER ORG-MENTION 4        
TA110041   A14 TYPE VOLUNTEER ORG-MENTION 5        
TA110042   A14 TYPE VOLUNTEER ORG-MENTION 6        
TA110043   A14B HOW OFTEN VOLUNTEERED              
TA110044   B1 FALL/WINTER PRIMARY RESIDENCE        
TA110045   B2 SUMMER PRIMARY RESIDENCE             
TA110046   B5A HOW MUCH RESONSIBLTY EARNG OWN LIVNG
TA110047   B5B HOW MUCH RESPONSIBLTY PAYNG OWN RENT
TA110048   B5C HOW MUCH RESPONSBLTY FOR OWN BILLS  
TA110049   B5D HOW MUCH RESPONSIBLTY MANAGING MONEY
TA110050   B6A HOW GOOD AT RESPONSIBILITY          
TA110051   B6B HOW GOOD AT PROBLEM SOLVING         
TA110052   B6C HOW GOOD AT MONEY MANAGEMENT        
TA110053   B6D HOW GOOD AT CREDIT CARD PAYOFF      
TA110054   C1A HOW GOOD AT SUPERVISING COMP        
TA110055   C1B HOW GOOD AT LEADING COMP W/OTRS     
TA110056   C1C HOW GOOD AT LOGIC COMP W/OTRS       
TA110057   C1D HOW GOOD AT HELPING COMP W/OTRS     
TA110058   C1E HOW INTELLIGENT COMPARED W/OTRS     
TA110059   C1F HOW INDEPENDENT COMPARED W/OTRS     
TA110060   C1G HOW CONFIDENT COMPARED W/OTHERS     
TA110061   C1H HOW DECISIVE COMPARED W/OTHERS      
TA110062   C1J HOW WELL LISTEN COMPARED W/OTHERS   
TA110063   C1K HOW GOOD AT TEACHING COMPARED W/OTRS
TA110079   D1 CURRENT MARITAL STATUS               
TA110088   D8 WTR ROMANTIC RELATIONSHIP NOW        
TA110101   D28A NUMBER OF CHILDREN                 
TA110137   E1 EMPLOYMENT STATUS 1ST MENTION        
TA110141   E3A WTR WORKD SINCE JAN 1 OF PRIOR YEAR 
TA110348   E62 WTR EVER WORKED                     
TA110462   E70 WHY NOT LOOKNG FOR WRK IN LAST 4 WKS
TA110671   G1 WTR GRADUATED HIGH SCHOOL            
TA110698   G10 WTR EVER ATTENDED COLLEGE           
TA110699   G11 WTR IN COLLEGE NOW                  
TA110743   G20 WTR CURRENTLY IN VO/TECH TRAINING   
TA110793   H3 HOW MUCH CONDITION LIMITS AMT OF WORK
TA110825   H12 WTR EVER HAD EMOTIONAL/PSYCH PROBS  
TA110827   H12B WTR DEPRESSION                     
TA110828   H12B WTR BIPOLAR DISORDER               
TA110829   H12B WTR SCHIZOPHRENIA                  
TA110830   H12B WTR ANXIETY                        
TA110831   H12B WTR PHOBIAS                        
TA110832   H12B WTR ALCOHOL PROBLEMS               
TA110833   H12B WTR OTHER DRUG PROBLEMS            
TA110834   H12B WTR OBSESSIVE COMPULSIVE DISORDER  
TA110842   H13B HOW MUCH LIMITS NORMAL ACTIVITIES  
TA110853   H15 WTR>2 WKS DEPRESSED IN PAST 12 MOS  
TA110854   H16 WTR>2 WKS NO INTEREST IN LIFE       
TA110900   H27 # OF HOURS OF SLEEP IN 24-HR PERIOD 
TA110901   H28A FREQ OF SNACK INSTEAD OF REGLR MEAL
TA110902   H28B FREQUENCY OF BINGE EATING          
TA110905   H30 # CIGARETTES PER DAY                
TA110913   H37 HOW OFTEN HAVE DRINKS-HD            
TA110914   H38 # ALCOHOLIC DRINKS PER DAY-HD       
TA110915   H39 # DAYS HAD 4-5 DRINKS-HEAD          
TA110922   H44A # OF TIMES TOOK W/O DOC IN 12 MOS  
TA110923   H45A # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA110930   H44B # OF TIMES TOOK W/O DOC IN 12 MOS  
TA110931   H45B # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA110938   H44C # OF TIMES TOOK W/O DOC IN 12 MOS  
TA110939   H45C # OF TIMES TOOK W/O DOC IN 30 DAYS 
TA110943   H42D_B # OF OCCASIONS IN PAST 12 MOS    
TA110944   H42D_C # OF OCCASIONS IN PAST 30 DAYS   
